"ID","ISBN","CATEGORY","TITLE","ARTIST","DATE","DESCRIPTION","PRICE","URL","THUMBAIL"
1,"4871825566",TENMA COMICS,恋の花小箱,水島空彦,"2002-2-22","Ｈだけじゃなく、読みごたえのあるストーリーにも話題集中！　水島空彦　待望の初コミックス！
収録作品「鏡の森」「願い星　恋ざくら」「お金の価値」「天国への扉」「恋愛Revolution」「やっぱりポチが好き」「MARRY　WITH　A　GHOST？」「恋の花小箱」
水島空彦","895",http://www.akaneshinsha.co.jp/item/8780/,http://www.akaneshinsha.co.jp/wp-content/uploads/2016/09/4-87182-556-6.jpg
2,"4871825434",TENMA COMICS,育ちかけ,あ～る・こが,"2002-11-26","少女達は早く大人になりたくて…　コミックアンソロジー『ひな缶』シリーズに掲載された作品を中心に育ちかけ少女を結集！
収録作品「温泉の火照りの後で」「情と愛と欲の間で」「繋がり」「ごほうび下さい…。」「夜のくまさん」「木もれ陽」「ごめんね…。」「犬の日常」「ＩＮＮＯＣＥＮＴ　ＭＥＭＯＲＹ」「仔猫なのにの」「雨のち晴れ」「仔猫の子守唄」
あ～る・こが","895",http://www.akaneshinsha.co.jp/item/8764/,http://www.akaneshinsha.co.jp/wp-content/uploads/2016/09/4-87182-543-4.jpg
3,"4871825930",TENMA COMICS,パッチワーク,横井レゴ,"2003-7-10","ある日ひょっこり現れた少女は、昔飼っていたうさぎの面影と耳としっぽを持っていて！？
収録作品「よろしゅうおあがり」「Purticular」「誘良可」「人形使われ」「Like a leech」「まどろみの狭間」「覗きからくりのひと」「わくわくCAN　YOU！」「掛け継ぎの傘の中で」
横井レゴ","895",http://www.akaneshinsha.co.jp/item/8740/,http://www.akaneshinsha.co.jp/wp-content/uploads/2016/09/4-87182-593-0.jpg
4,"4871825868",TENMA COMICS,ＵＫ-ＵＮＭＯＲＡＬ　ＫＩＤｓ-,ひぢりれい,"2003-9-20","クラスメイトのトーマ君はカワイイ顔なのにすっごくあそこがエグいの。だからついいじめちゃうんだ…明日はどんなふうにしようかな。
収録作品「ＵＫ」「少女Ａ」「また明日」「空蝉」「Shangri-La」「おちこぼれサキュバス　コロンちゃん」「夏色トラップ！」
ひぢりれい","895",http://www.akaneshinsha.co.jp/item/8059/,http://www.akaneshinsha.co.jp/wp-content/uploads/2016/07/4-87182-586-8.jpg
5,"4871826066",TENMA COMICS,晴れどきどきＨ日和,鷹勢優,"2003-9-20","ショタとロリの中間点！？とってもボーイッシュな女の子満載の鷹勢優待望の初コミックス！
収録作品「Sweet　Liquid」「いきなりめいどろいどぱにっく」「ぱにっく！とらんせくしゃる」「いもうと競走」「おしえてｖてぃーちゃー」「”約束-promise-”」「れっつ・いんじぇくと」「Tiny　Love」「0の日」
鷹勢優","895",http://www.akaneshinsha.co.jp/item/8302/,http://www.akaneshinsha.co.jp/wp-content/uploads/2016/08/4-87182-606-6.jpg
6,"4871826589",TENMACOMICS LO,L-MATRIX,片桐火華,"2004-4-24","COMIC　LOが生んだ稀代の”ロリ責め絵師”片桐火華の初作品集ついに完成！
収録作品「放課後の出来事」「放課後の出来事2」「ロマンティック・テイスト」「ママには内緒」「ママには内緒って言ったじゃない！」「どれい少女」「少女倶楽部」「Drop」「守ってあげる」「モーニャン娘追加オーディション」「通学電車」","895",http://www.akaneshinsha.co.jp/item/1061/,http://www.akaneshinsha.co.jp/wp-content/uploads/2014/03/4-87182-658-9.jpg
7,"4871826570",TENMACOMICS LO,春ノ雨-Spring Drops-,KURO,"2004-4-24","春の雨は暖かくて柔らかくて優しくて…少し哀しい
COMIC　LOきっての実力派！KURO珠玉の短編集！！
収録作品「春ノ雨」「嵐ヶ丘」「Which tea does he like?」「Pure Blood」「銀華と金華」「FORNACALIA」「幻燈」「Pigeon Blood」「Breeder Dream」「―神の降臨とその確率について」
KURO","895",http://www.akaneshinsha.co.jp/item/8039/,http://www.akaneshinsha.co.jp/wp-content/uploads/2016/06/4-87182-657-0.jpg
8,"4871826635",TENMACOMICS LO,恋愛賛歌,宮内由香,"2004-5-15","心と体が揺れ動く思春期。
まだ硬い、膨らみかけの胸には人を想う気持ちが苦しいくらいに詰まっている。
そんな女の子達の「性の目覚め」を描く、宮内由香珠玉のラブストーリー集！！
収録作品「恋愛賛歌」「もう一人の私へ…」「成長期」「僕らの時代」「そしてあなたと小さなテディ」「僕とモモコ」
>宮内由香","895",http://www.akaneshinsha.co.jp/item/6919/,http://www.akaneshinsha.co.jp/wp-content/uploads/2016/01/4-87182-663-5.jpg
9,"4871826651",TENMACOMICS LO,ROUND　SHELL,完顔阿骨打,"2004-5-25","「ロリータマンガの最大公約数」と言われる完顔阿骨打（わんやんあぐだ）先生のロリ仕事が、ついに1冊にまとまりました。
最初から最後まで全部ロリ、濃縮された嘘偽りの無い完全な「ロリータマンガ」作品集です。私たち現代人のロリ魂に「キューン」と作用する「ツリ目委員長」や「ぱじゃま眼鏡っ子」や「スパッツ」などが相当数含まれていますので、抜群の効果を発揮します。ロリータ初心者の方にもお薦めの1冊です！
収録作品「まゆとちさと1」「まゆとちさと2」「まゆ」「ふたりでいっぽん」「笑顔のじかん」「えたーなる・ついんず・あたっく」「委員長のごほうび」「あつい　ひみつ」","800",http://www.akaneshinsha.co.jp/item/1062/,http://www.akaneshinsha.co.jp/wp-content/uploads/2014/03/4-87182-665-1.jpg
10,"4871826783",TENMA COMICS,少女流幸福攫取論,笹倉綾人,"2004-6-25","奔放な少女達の織り成す、とってもえっちな恋ストーリーv覗いて下さい…、オトコとオンナのいろんなカタチ。
今宵あなたに女の子達の夢を―　
収録作品『ご主人様とチャッピー』『恋人以上パパ未満』『コーヒーブレイク』『放課後の教室風景』『放課後のフォーリンラブ』『放課後の教育実習』『ケミカルシスターズ』『ブラ以外はぴったりだもん☆』『なかよしえーす。』『てんぷてーしょん？』
笹倉綾人","895",http://www.akaneshinsha.co.jp/item/8326/,http://www.akaneshinsha.co.jp/wp-content/uploads/2016/08/4-87182-678-3.jpg
