"ID","ISBN","TITLE","ARTIST","DATE","DESCRIPTION","PRICE","URL","THUMBAIL"
1,"978-4860847388",女教師京子 ～快楽調教室～,中華なると,"2010-03-25",剣道部顧問の美人教師京子。その精悍な美貌に汚れた執着を抱く教頭は、淫色も魔罠を決行。女教師の身体へ施される性感改造と快楽漬けの関係。やがて、あの颯爽たる規律と風紀は堕落へと導かれてゆく！あの美人女教師が単行本になって帰ってくる！厳格女教師性奴隷調教劇！,"1,028",https://comic.gotbb.jp/comics/separatevolume/chuka001,https://comic.gotbb.jp/images/products/20160413_010623_x6zSh.jpg
2,"978-4860847401",らんじぇりー＊ぱにっく,けんたろう,"2010-04-24","女だらけの下着メーカー『らんじぇりー＊ぱにっく』で運よく働けることになった三木下歩。下着への情熱が、どこをどうしてこうなった！？
社内で出会う女性と片っ端からHすることになって・・・。本命との恋とHは果たして成就するのか！？","1028",https://comic.gotbb.jp/comics/separatevolume/lingerie,https://comic.gotbb.jp/images/products/20160413_010914_2VtbA.jpg
3,"978-4860847425",淫宴玩具姫嬲り,東航,"2010-05-25",電子マガジン「コミックマグナム」の好評連載作品、ついに単行本化！女達が抵抗しても抜け出せない性玩具の宴！男達が穴という穴に嬲り欲望を爆発させる！心身崩壊寸前の絶頂アクメ淫姦凌辱！！,"1028",https://comic.gotbb.jp/comics/separatevolume/inen,https://comic.gotbb.jp/images/products/20160413_011335_Vk2t9.jpg
4,"978-4860847449",母が白衣を脱ぐとき1,横山ミチル,"2010-06-25",看護師長の倉持朝美は、清潔で凛とした勤務態度で病院では一目置かれる存在。ある日、骨折した少年が入院してきた。彼の怪我は、自分の息子が負わせたものだという。問題にされたくなかったら自分に付き合えと、かねてから誘われ続けていた医師・八雲に脅され、朝美は屈辱の決断を下す。。。恥辱と悦楽の絶対服従！爆発的人気を誇った電子配信コミック、衝撃の第一巻！,"1028",https://comic.gotbb.jp/comics/separatevolume/hahaga,https://comic.gotbb.jp/images/products/20160413_011620_WJDDa.jpg
5,"978-4860847470",義父～百合子～,中華なると,"2010-12-24",清楚な嫁を魔改造する義父嫁調教！！嫁の身体を貪る淫猥義父。披露宴、初夜、新婚生活にまで執着をみせる嫁調教。セックス漬けにされる新妻の貞淑は、性中枢に堕落を巣食ってゆく！,"1028",https://comic.gotbb.jp/comics/separatevolume/gichichi,https://comic.gotbb.jp/images/products/20160413_011912_Tymlx.jpg
6,"978-4860847487",Holy Knight (ホーリーナイト) 01,宮崎摩耶,"2011-07-25",「私と一緒にめちゃめちゃになろ？」平凡な学園生活を送っていた水村心太に、突然襲いかかってきた謎の美少女・岸本リリス。紅い瞳に、紅く長い髪。この出会いは、全ての始まりにすぎなかった。古より複雑に絡み合う運命の糸が、今ほどけていく…。エロティック・ファンタジーの決定版!!,"630",https://comic.gotbb.jp/comics/separatevolume/holy-knight-01,https://comic.gotbb.jp/images/products/20160413_012334_SJyOl.jpg
7,"978-4860847494",女装奴隷ユウ,まいなぁぼぉい,"2011-07-25",電子マガジン「コミックマグナム」の好評連載作品、ついに単行本化！倒錯した女装SMの扉がいま開放する!!完全無欠のLadyBoyへの強制調教!!,"1028",https://comic.gotbb.jp/comics/separatevolume/yuu,https://comic.gotbb.jp/images/products/20160413_012138_naVft.jpg
8,"978-4860847524",愛欲蟲～地下牢姦禁～,紫恩,"2011-08-25",憧れのお姉さんであり幼馴染のアカリさん。僕のいちばん大事な人だ。ある日をきっかけに男女の仲になった僕たちは、この幸せが永遠に続くものだと思っていた。そう、同じ大学に通う「あの女」が部屋に来るまでは…。電子マガジン「コミックマグナム」で連載された問題作、ついに単行本化！,"1028",https://comic.gotbb.jp/comics/separatevolume/aiyoku,https://comic.gotbb.jp/images/products/20160413_012930_EqYu2.jpg
9,"978-4860847517",母が白衣を脱ぐとき2,横山ミチル,"2011-08-25",もう後戻りできない…「病室でこんなことするなんて…」朝美、息子の友達と。あみな、朝美の息子と。モラルと情欲の狭間でしか得られない、最大禁忌の興奮!!,"1028",https://comic.gotbb.jp/comics/separatevolume/hahaga2,https://comic.gotbb.jp/images/products/20160413_012558_Ti8OI.jpg
10,"978-4860847555",侵蝕の刻～兄嫁の咽び～,唄飛鳥,"2011-10-25",「アナタ・・・ごめんなさい・・・私・・・今から犯されます」繰り返される義弟の狡猾な恥辱に兄嫁の身体は蝕まれていく！！,"1028",https://comic.gotbb.jp/comics/separatevolume/shinsyoku,https://comic.gotbb.jp/images/products/20160413_013140_8kaXS.jpg
11,"978-4860847579",妹いじりとママあそび,蛙子丁字,"2011-11-21","イキすぎる母を絶頂調教恥姦！
決壊させられる母親の理性。息子の性欲に満ちた悪戯に母の身体は女の肉体へと変えられてゆく…","1029",https://comic.gotbb.jp/comics/separatevolume/imoutomama,https://comic.gotbb.jp/images/products/20160413_013533_Jan1i.jpg
12,"978-4860847609",へんたい 山本さん,宮野金太郎,"2012-01-23",「アタシのアソコめくれあがってりゅー!!!」本書は女という生き物が”ド変態”であることを隠しません…,"1028",https://comic.gotbb.jp/comics/separatevolume/yamamoto,https://comic.gotbb.jp/images/products/20160413_013813_K1jKf.jpg
13,"978-4860847623", W・TAILS CAT 1,士郎正宗,"2012-02-22",手加減無しの濃厚エロス!!国際的評価を受ける人気クリエイター・士郎正宗が本気で挑んだ淫艶で美麗な極エロティック・イラストストーリー登場!!火星に作られた新都市を舞台に深窓のご令嬢だけど、ずば抜けてエッチなシリル・ブルックリン嬢が、汁まみれやら、○○の検査やら、複数の男たちに××な尋問を受けたり…!!なんか、すっごいコトいっぱいされます?B4版変形という大型サイズで繰り広げる、大迫力の淫靡絵巻をしゃぶり尽くせ!!!!,"3065",https://comic.gotbb.jp/comics/separatevolume/wtails-cat,https://comic.gotbb.jp/images/products/20160413_014153_GWzwZ.jpg
14,"978-4860847647",禁忌猟域,くろ,"2012-03-24",主婦、OL、学生。ごく普通の女たちを突然襲う、非道セックス!欲望に歯止めをかけない男たちの手で、「普通に犯される」ことさえ、許されない女たちの絶叫と蹂躙される身体がどのページにもみっちり!!「女」を「壊す」、極凌辱ハード系アダルト・コミック珠玉の一冊が登場!!!!,"1028",https://comic.gotbb.jp/comics/separatevolume/kinryouiki,https://comic.gotbb.jp/images/products/20160413_014004_t1oIU.jpg
15,"978-4860847654",桃色ナース,桃之助,"2012-04-25",ラブくて激しいハーレム入院生活！キャノプリcomicの大人気連載作品が待望の単行本化！ツンロリ看護師・綾野が想いをよせる藤村は、なぜかモテモテ。巨乳グラマー、ロリっ娘女医、ゴスロリ美少女、眼鏡姉さんとやりまくり?果たして綾野の恋の結末は……!?「こんなにたくさん…うれしい?」かけまくり、イラマチオ多めで飛ばしまくっております！,"1028",https://comic.gotbb.jp/comics/separatevolume/momoiro,https://comic.gotbb.jp/images/products/20160413_013758_oufw4.jpg
