"ISBN","TITLE_JP","TITLE_ROMA","AUTHOR","AUTHOR_ROMA","DATE","LINK_PUBLISHER","COMMENT","PRICE","PAGE","EH","UPLOADER","SOURCE","QUALITY","QUOTE"
"978-4-86349-769-6",TEENISM,TEENISM,緑茶イズム,Ryokuchaism,"2019-5-28",http://www.akaneshinsha.co.jp/item/itemreco/12988/,"春に燻る、青い熱。

思春期の少年少女が抱える性衝動を
瑞々しく、艶かしく、生々しく描く
実力派新人“緑茶イズム”待望の初単行本!!

高校生カップルのマンネリ解消濃厚H、
学年トップ優等生のいけない火遊び、
いじめられっこの復讐逆NTRなどなど、
濃い目の液体描写が光る実用性、
ストーリー性ともに抜群の逸品をどうぞ。

【収録作品】

『処女を捨てた日』
『alternate』
『ファーザー・コンプレックス』
『ペトリコール』
『ラブ&デストロイ』
『ツナマヨネーズ』
『朔の蜜月』",1065,"176",https://exhentai.org/g/1445115/4b20cdf67c/,salar,SCAN,"3000px",
"978-4-86349-781-8",彼女がセックスに慣れてるワケ,Kanojo ga SEX ni nare teru wake,あお色一号,Aoiro Ichigou,"2019-7-29",http://www.akaneshinsha.co.jp/item/itemreco/13213/,"キミがイチバンだよ。信じて。

あの時、先輩の身に起こっていたことを
僕はずいぶん後になって知ったのだった。

寝取られ長編骨太60P＋αでお送りする、
あお色一号衝撃の初単行本！

【収録作品】
『憧れに溺れて 前編』
『憧れに溺れて 中編』
『憧れに溺れて 後編』
『憧れに溺れて アナザーサイド』
『あの表情がまた見たくて』
『お呪（まじな）い』
『カネの切れ目は…』
『たまたまぼた餅』",1065,"177",https://exhentai.org/g/1476167/419e67ceb2/,salar,SCAN,"3000px",
"978-4-86349-785-6",Knospenmädchen,Knospenmädchen,まめおじたん,Mameojitan,"2019-8-28",http://www.akaneshinsha.co.jp/item/itemreco/13341/,サカりに開く、思春期の蕾。,1065,"208",https://exhentai.org/g/1509328/2c761de6fb/,salar,SCAN,"3000px",
"978-4-86349-791-7",溺愛交尾,Dekiai Koubi,むねしろ,Muneshiro,"2019-9-28",http://www.akaneshinsha.co.jp/item/itemreco/13549/,"極上ボディに発狂い射精す♡

「お義兄さま、そんな目で見ないでください…♡」義妹とその友人達に肉欲まみれの性活指導♡

JK達を即堕ちメス化!?妻とのSEXで射精できない、そんな夫が底無しの情欲を義妹に吐精きだしてから、始まった歪な関係。

淫臭漂う牝肉を極太チ〇ポで貪り尽くしてトリコにさせる「性活指導」シリーズを始め、珠玉のガチエロ9作品を収録!!

【収録作品】

『不順な義妹の性活指導』
『軽口な後輩の性活指導』
『巨乳な双子の性活指導』
『可憐な義妹の性活指導』
『描き下ろしマンガ』
『ボク僕サキ』
『彼女の行為室』
『ネクラも囲えばサルになる』
『月イチベッド姪キング』",1065,"178",https://exhentai.org/g/1514958/27c951046b/,salar,SCAN,"3000px",
"978-4-86349-796-2",アクマでJK！,Akuma de JK!,神毛物由宇,Mikemono Yuu,"2019-10-28",http://www.akaneshinsha.co.jp/item/itemreco/13563/,"おっぱい!いっぱい!夢いっぱい!

ハーレム試験に強制参加♡
JK悪魔を助けるため
ヤってヤってヤりまくり♪

「アクマでJK!」シリーズ
90Pのほか短編4本を収録！

【収録作品】

『アクマでJK! 第1話』
『アクマでJK! 第2話』
『アクマでJK! 第3話』
『アクマでJK! 第4話』
『姫川さんは近道したい』
『おねがいがえし』
『催眠アプリ』
『即ハメ!お姉ちゃんズ』",1100,"176",https://exhentai.org/g/1516058/d916f8a540/,salar,SCAN,"3000px",
"978-4-86349-797-9",ノラネコ少女との暮らしかた 2,Noraneko Shoujo to no Kurashikata 2,シイナ,Sheena,"2019-10-28",http://www.akaneshinsha.co.jp/item/itemreco/13565/,"目の前で安心して眠る君を見て、
愛情が溢れてくるのを感じた。

気ままな野良猫少女と
真剣セックス＆ライフ♪

BookLive!コミック他Web配信で
超人気の連載に描き下ろしを加え
完全版として待望の単行本化！

【収録作品】

『ノラネコ少女との暮らしかた 第9話』
『ノラネコ少女との暮らしかた 第10話』
『ノラネコ少女との暮らしかた 第11話』
『ノラネコ少女との暮らしかた 第12話』
『ノラネコ少女との暮らしかた 第13話』
『ノラネコ少女との暮らしかた 第14話』
『ノラネコ少女との暮らしかた 第15話』
『描き下ろし』",1100,"198",https://exhentai.org/g/1838856/3b84f73303/,wrongdoormaster,DLSITE,"1500px",
"978-4-86349-803-7","1LDK+JK 2","1LDK+JK 2",二三月そう,Fumitsuki Sou,"2019-11-28",http://www.akaneshinsha.co.jp/item/itemreco/13702/,"「おかえり」が言いたくて、
「ただいま」が聞きたくて。

ある日突然始まったＪＫとの同居生活。
時にトラブルを抱えながらも、
二人の生活は深まっていく…。

BookLive!コミック他Web配信で
人気の連載に描き下ろしを加え
完全版として待望の単行本化！

【収録作品】

『1LDK+JK 第8話』
『1LDK+JK 第9話』
『1LDK+JK 第10話』
『1LDK+JK 第11話』
『1LDK+JK 第12話』
『1LDK+JK 第13話』
『1LDK+JK 第14話』",1100,"199",https://www.hentaicore.net/2021/05/248251,hentaicore.net,SCAN,"3000px",
"978-4-86349-802-0",おねえちゃんたいむ♡,Onee-chan Time,森島コン,Morishima Kon,"2019-11-28",http://www.akaneshinsha.co.jp/item/itemreco/13784/,"キミのこと、泣かせるぐらい蕩かしてアゲル♡

どこもかしこもカワイイ♡だらけ♪
ALL 「JK×ショタ」でお送りする
森島コン待望の2nd単行本です♡

【収録作品】

『反抗期ヌキのススメ♡』
『反抗期ヌキのススメ♡ Part2』
『おしおきっ!』
『金曜日にあいましょう』
『あねいろどりーむ』
『性的えでゅけーしょん♡』
『オシアイ×トレイン』",1100,"189",https://www.hentaicore.net/2020/01/215485,hentaicore.net,SCAN,"3000px",
"978-4-86349-810-5",ヘンな処女でもいいですか？,Hen na Ko demo Ii desu ka?,薬味紅生姜,Yakumi Benishouga,"2019-12-26",http://www.akaneshinsha.co.jp/item/itemreco/13804/,"ちょっとクセのある方がJKは可愛い♡

カワイイ♡だけどちょっぴり変わってる？個性溢れる巨乳JK＆JCとの
糖度高め？な初Ｈをつめこんだ「薬味紅生姜」待望の初単行本です♡
【収録作品】

『魔術部の先輩と使い魔の僕』
『大きなカノジョができました。』
『視線を逸らすそのわけは』
『Be friend』
『すべては彼女の思い通り #1』
『すべては彼女の思い通り #2』
『すべては彼女の思い通り #3』
『すべては彼女の思い通り #4』
『とある義妹の物語』",1200,"220",https://exhentai.org/g/1784401/eb8358249e/,zxcvb123454,DLSITE,"1500px",
"978-4-86349-811-2",BorderLine,BorderLine,桐原湧,Kirihara You,"2019-12-26",http://www.akaneshinsha.co.jp/item/itemreco/13807/,"揺らめく思春期の、恋とセックス。

心と身体を重ね合い、何気ない日常から青き春を刻んでいく。
現実を凌駕する実在感で、等身大の少女達を克明に描き出す、
俊英の最新単行本がアオハレーベルにて初登場!!
【収録作品】

『BORDERLINE』
『合格通知』
『今日はする日』
『告白』
『いつもとは、違う君と。』
『夏の終わりに』
『遊びの時間』
『遊びの時間+』
『放課後異性交遊』",1100,"206",https://exhentai.org/g/1574559/203b286fbe/,Magikarp_Guy,DLSITE,"1500px",
