"ID","DA_ID","CENSORED","TITLE_JP","TITLE_ROMA","TITLE_DA","PUBLISHER","AUTHOR","AUTHOR_ROMA","AUTHOR_CN","DATE","DATE_DA","DL_LINK_JP","LINK_DA","LINK_DL","EH","UPLOADER","SOURCE","COMMENTS"
1,DAV-001,NO,幾日,Ikujitsu,幾日,ワニマガジン社 ,幾花にいろ,Ikuhana Niiro,幾花丹色,2018-05-25,2018-06-25,https://www.dlsite.com/books/work/=/product_id/BJ151861.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=258,https://www.dlsite.com/books/work/=/product_id/BJ277811.html,https://exhentai.org/g/1577926/0ec282f73b/,nobodykkk,新視界,
2,DAV-002,NO,はじらいブレイク,Hajirai Break,破・廉恥,ワニマガジン社 ,ホムンクルス,HOMUNCULUS,人造人,2012-05-28,2019-08-21,https://www.dlsite.com/books/work/=/product_id/BJ014626.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=310,https://www.dlsite.com/books/work/=/product_id/BJ277812.html,https://exhentai.org/g/1686888/41309da5e5/,Yu Yu Chen,新視界,
3,DAV-003,NO,レンアイサンプル,Renai Sample,戀愛樣本,ワニマガジン社 ,ホムンクルス,HOMUNCULUS,人造人,2014-06-07,2019-08-21,https://www.dlsite.com/books/work/=/product_id/BJ039603.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=311,https://www.dlsite.com/books/work/=/product_id/BJ277813.html,https://exhentai.org/g/1787202/12879a3577/,GreenT1a,新視界,
4,DAV-004,NO,求愛エトランゼ,Kyuuai Etranger,求愛異鄉人,ワニマガジン社 ,ホムンクルス,HOMUNCULUS,人造人,2019-08-07,2019-08-21,https://www.dlsite.com/books/work/=/product_id/BJ205609.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=312,https://www.dlsite.com/books/work/=/product_id/BJ277814.html,https://exhentai.org/g/1935402/80f170a76e/,K4W1H0R53,未來數位DL,自购
5,DAV-005,NO,ラブミーテンダー,Love Me Tender,Love me tender -溫柔地愛著我,ワニマガジン社 ,藤丸,Fujimaru,藤丸,2018-04-14,2020-06-25,https://www.dlsite.com/books/work/=/product_id/BJ143125.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=376,https://www.dlsite.com/books/work/=/product_id/BJ277815.html,,,,
6,DAV-006,NO,ユアソング,Your Song,Your Song -屬於你的歌-,ワニマガジン社 ,藤丸,Fujimaru,藤丸,2020-01-27,2020-06-25,https://www.dlsite.com/books/work/=/product_id/BJ226767.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=377,https://www.dlsite.com/books/work/=/product_id/BJ277816.html,https://exhentai.org/g/1573813/94fd6f2323/,鬼畜王汉化组,日版DL,
7,DAV-007,NO,桃色ドロップ,Momoiro Drop - sweet drop candy,桃色水果糖,ワニマガジン社 ,さくま司,Sakuma Tsukasa,佐久間司,2020-07-08,2020-08-27,https://www.dlsite.com/books/work/=/product_id/BJ247453.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=391,https://www.dlsite.com/books/work/=/product_id/BJ277817.html,https://exhentai.org/g/1640410/d225f0b5ad/,dfsgg,新視界,
8,DAV-008,NO,粘膜,Nenmaku,黏膜,ワニマガジン社 ,翁賀馬乃助,Okinaga Umanosuke,翁賀馬乃助,2020-07-15,2020-08-27,https://www.dlsite.com/books/work/=/product_id/BJ247454.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=392,https://www.dlsite.com/books/work/=/product_id/BJ277818.html,,,,
9,DAV-009,NO,おかえり,Okaeri - welcome home,歡迎回家,ワニマガジン社 ,雲呑めお,Wantan Meo,雲吞芽央,2020-07-28,2020-10-15,https://www.dlsite.com/books/work/=/product_id/BJ250654.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=410,https://www.dlsite.com/books/work/=/product_id/BJ277819.html,https://exhentai.org/g/1701703/db2e6a3c5c/,"18comic",疑似未來數位DL,
10,DAV-010,NO,おやつの時間,Oyatsu no Jikan - Would you like to taste my body?,點心時間,ワニマガジン社 ,さんじゅうろう,Sanjuurou,三十郎,2018-03-30,2020-12-10,https://www.dlsite.com/books/work/=/product_id/BJ143127.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=419,https://www.dlsite.com/books/work/=/product_id/BJ277820.html,https://exhentai.org/g/1555080/0a6d6b2e4e/,cilacila,疑似未來數位DL,
