"ID","FD_ID","CENSORED","TITLE_JP","TITLE_ROMA","TITLE_FD","PUBLISHER","AUTHOR","AUTHOR_ROMA","DATE","DATE_FD","DL_LINK_JP","LINK_FD","LINK_DL","EH","UPLOADER","SOURCE","COMMENTS"
1,FDC-020,YES,聊齋夜畫～狐魅～,,聊齋夜畫～狐魅～,未來數位,黒青郎君,Kokusei Roukun,2020-09-29,2013-02-16,https://www.dlsite.com/books/work/=/product_id/BJ259431.html,https://future-digi.com/index.php?route=product/product&product_id=67,https://www.dlsite.com/books/work/=/product_id/BJ259431.html,,,,
2,FDH-004,YES,ピスはめ! 上,Peace Hame! Jou,性愛畢冊!上,ヒット出版社,師走の翁,Shiwasu no Okina,2013-05-05,2015-08-29,https://www.dlsite.com/books/work/=/product_id/BJ021857.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=165,https://www.dlsite.com/books/work/=/product_id/BJ266248.html,https://exhentai.org/g/483323/2345c0338a/,妖精之森汉化,日版扫本汉化,
3,FDH-021,NO,エロピッピ,Ero Pippi,慾情．青春,ヒット出版社,師走の翁,Shiwasu no Okina,2017-05-31,2020-11-09,https://www.dlsite.com/books/work/=/product_id/BJ111595.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=469,https://www.dlsite.com/books/work/=/product_id/BJ266249.html,https://exhentai.org/g/1462653/b3ff842c03/,alfredmeow,未來數位BW,截图
4,FDH-005,YES,ピスはめ! 下,Peace Hame! Ge,性愛畢冊!下,ヒット出版社,師走の翁,Shiwasu no Okina,2013-05-05,2015-08-29,https://www.dlsite.com/books/work/=/product_id/BJ023330.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=166,https://www.dlsite.com/books/work/=/product_id/BJ266370.html,https://exhentai.org/g/569245/9164b14216/,mmmmnb,未知,疑似DL
5,FDH-017-1,NO,アイブカ! （仮）,Aibuka! (Kari),偶像部!（暫）,ヒット出版社,師走の翁,Shiwasu no Okina,2015-02-07,2020-11-30,https://www.dlsite.com/books/work/=/product_id/BJ050873.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=200,https://www.dlsite.com/books/work/=/product_id/BJ267079.html,https://exhentai.org/g/726914/a0546b86c0/,badluck1205汉化,日版扫本汉化,
6,FDH-003,YES,戦車コレ,Tancolle - Battle Tank Girls Complex,戰車娘收藏,ヒット出版社,鈴木狂太郎,Suzuki Kyoutarou,2015-05-23,2015-08-29,https://www.dlsite.com/books/work/=/product_id/BJ055259.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=164,https://www.dlsite.com/books/work/=/product_id/BJ267080.html,https://exhentai.org/g/1866030/069c88d64a/,煉銅術士,未來數位DL/BW,
7,FDH-001S,NO,ヌーディストビーチに修学旅行で!!,Nudist Beach ni Syuugaku Ryokoude!!,天體營海灘的校外教學!,ヒット出版社,師走の翁,Shiwasu no Okina,2015-12-05,2015-07-17,https://www.dlsite.com/books/work/=/product_id/BJ068202.html,https://future-digi.com/index.php?route=product/product&product_id=259,https://www.dlsite.com/books/work/=/product_id/BJ266471.html,https://exhentai.org/g/985189/2fe5118499/,Badluck1205x脸肿汉化组x最終話的漢化冨樫了對吧x塔布里斯xjunykyon聯合漢化,日版扫本汉化,
8,FDH-002,YES,かくしデレ,Kakushi dere,隱嬌女友,ヒット出版社,ひょころー,Hyocorou,2013-07-07,2015-07-17,https://www.dlsite.com/books/work/=/product_id/BJ023331.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=155,https://www.dlsite.com/books/work/=/product_id/BJ267245.html,https://exhentai.org/g/557649/08987d6002/,多人翻译后整合,杂志源,实体版缺货
9,FDH-006,YES,純愛メモリアル,Innocent Love Memorial,純愛回憶,ヒット出版社,猫伊光,Nekoi Hikaru,2015-12-15,2015-10-26,https://www.dlsite.com/books/work/=/product_id/BJ068204.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=173,https://www.dlsite.com/books/work/=/product_id/BJ267246.html,https://exhentai.org/g/815026/c5967daa77/,uut,新視界,
10,FDH-007,YES,メガネの処方箋,Megane no Shohousen,眼鏡娘的處方箋,ヒット出版社,ばーるん,Barlun,2016-05-04,2015-10-26,https://www.dlsite.com/books/work/=/product_id/BJ080772.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=174,https://www.dlsite.com/books/work/=/product_id/BJ267247.html,https://exhentai.org/g/875806/fcf5d3884d/,makoto0000,未知,实体版缺货，数字版疑似DL
