"ID","GMAN_ID","CENSORED","TITLE_JP","TITLE_ROMA","TITLE_GMAN","PUBLISHER","AUTHOR","AUTHOR_ROMA","DATE","DATE_GMAN","LINK_JP","LINK_PUBLISHER","LINK_CN","COMMENTS","EH","UPLOADER","SOURCE","QUOTE"
1,TAK-014,无下体描绘,花めく妻は脱がされたい,Hana Meku Tsuma wa Nugasa Retai ,豔麗人妻渴望寬衣解帶,竹書房,東タイラ,Azuma Taira,2018-03-07,2020-07-25,https://www.dlsite.com/books/work/=/product_id/BJ142687.html,https://www.gman.com.tw/archives/322,https://www.kobo.com/tw/zh/ebook/p7nYKuBgUTm2lMkd9WieAQ,"雖然結婚了還是有點寂寞……

剛失戀的英二，在玫瑰花園裡拍攝花朵，無意間將一旁的人妻入鏡。

你要確認看看嗎？我的裙子裡面到底是什麼樣子？

是一場豔遇還是仙人跳？

都市裡無法言喻的美妙關係！",https://exhentai.org/g/1728690/c19ea3a97a/,wang90820,BW,
2,TAK-018,YES,淫らな卒業ボディ ～初めてのカラダあげます～,Midaranasotugyoubodhi Hazimetenokaradaagemasu,幫我破處的淫蕩肉體 煩請收下我的第一次,竹書房,志峨丘 トウキ,Shigaoka Touki,2018-07-27,2020-12-25,https://www.amazon.co.jp/%E6%B7%AB%E3%82%89%E3%81%AA%E5%8D%92%E6%A5%AD%E3%83%9C%E3%83%87%E3%82%A3-%E5%88%9D%E3%82%81%E3%81%A6%E3%81%AE%E3%82%AB%E3%83%A9%E3%83%80%E3%81%82%E3%81%92%E3%81%BE%E3%81%99-%E3%83%90%E3%83%B3%E3%83%96%E3%83%BC%E3%82%B3%E3%83%9F%E3%83%83%E3%82%AF%E3%82%B9-COLORFUL-SELECT-%E5%BF%97%E5%B3%A8%E4%B8%98/dp/480196334X,https://www.gman.com.tw/archives/603,https://www.kobo.com/tw/zh/ebook/Z719fIACdzyNj-LAAZdgWw,"好想要快點脫魯！
真想趕快盡情做愛！
成為大學生的耕作，
下定決心在三個月後的生日之前破處。
女大學生、打工的大姊姊、
運動系女子，以及隔壁的青梅竹馬…。
究竟是誰能幫耕作轉大人呢!?",,,,
3,TAK-019,YES,泥棒猫はカノジョの始まり,Dorobou Neko wa Kanojo no Hajimari,當小三是轉正宮的開始,竹書房,サイトウヤフ,Saito Yahu,2018-08-27,2020-12-25,https://www.dlsite.com/books/work/=/product_id/BJ162140.html,https://www.gman.com.tw/archives/586,https://www.kobo.com/tw/zh/ebook/kQKW2kw80j63Ns8m0mq40Q,"因意外事故而喪失部份記憶的阿彰，
醒來後受到女友小唯對他無微不至的照顧。
而同時在子公司也出現了一位，
自稱是阿彰女友的OL佐久間……？
一段謎團重重的三角關係。",,,,
4,TAK-017,YES,エロカワ彼女の性衝動,Erokawakanozyonoseisyoudou,性感可愛女友的性衝動,竹書房,宮原歩,Miyahara Ayumu,2018-07-17,2020-10-15,https://www.dlsite.com/books/work/=/product_id/BJ158598.html,https://www.gman.com.tw/archives/561,https://www.kobo.com/tw/zh/ebook/hAE4AogK4DOWOnbu9BnTQg,"隱藏在表面下的欲望滿溢而出！
長得漂亮工作能幹又可靠的葵學姐，
與態度謙虛對人體貼的紳士高村。
兩人雖然順利開始交往，
但彼此平常表面上的樣子，
原來卻和自己真正的本性差很多!?",,,,
5,AGL-001,YES,ともだちっくす,Tomodachix,朋友之間的淫事,エンジェル出版,	デコセンタクジ,Dekosen Takuji,2017-05-05,2020-10-15,https://www.dlsite.com/books/work/=/product_id/BJ108091.html,https://www.gman.com.tw/archives/548,https://www.kobo.com/tw/zh/ebook/Ell5x7n_zDiXC-kogguzyw,"到底是朋友還是砲友？

青梅竹馬的吉村拓也與珠洲葉，雖然不是男女朋友，卻有著無以倫比的親密關係，不管是第一次與異性牽手，接吻還是做愛，彼此都是最好的練習對象。

直到有一天，待業中的拓也遇見了給自己一份工作的菱丸地所美女部長－冰見川可憐小姐，事情開始有了變化。",,,,
6,TAK-016,YES,おっパラダイスは診療中 (2),Opparadise wa Shinryouchu 2,巨乳樂園診療中(02),竹書房,藤坂空樹,Fujisaka Kuuki,2018-02-27,2020-07-25,https://www.dlsite.com/books/work/=/product_id/BJ165112.html,https://www.gman.com.tw/archives/511,https://www.kobo.com/tw/zh/ebook/5ZkHN1aWJT-NqiB334KdAQ,"過去只要摸過一次胸部就不會忘記，
但這次碰到涼花小姐就失靈。
到底是宗形的特殊技能失效還是有別的原因，
柔柔軟軟的巨乳樂園第二集完結。",https://exhentai.org/g/1986433/bf43ace68b/,K4W1H0R53,KOBO,
7,TAK-015,YES,おっパラダイスは診療中 (1),Opparadise wa Shinryouchu 1,巨乳樂園診療中(01),竹書房,藤坂空樹,Fujisaka Kuuki,2018-02-27,2020-07-25,https://www.dlsite.com/books/work/=/product_id/BJ141887.html,https://www.gman.com.tw/archives/499,https://www.kobo.com/tw/zh/ebook/9_JJafgSkTi8HnII8gJ0Qg,"光是輕輕觸碰到，就再也無法壓抑心中的興奮…
擁有光是摸奶就能讓護士們不停高潮的神之手的主角，（為了尋找恩人）
在充滿美乳的綜合醫院
瘋狂搓揉＆撫摸＆玩弄酥胸！！！！！！",https://exhentai.org/g/1986432/485da92ddf/,K4W1H0R53,KOBO,
8,TAK-012,YES,昼下がり、妻の事情。,Hirusagari、Sainojijou,人妻們的那些不可告人之事,竹書房,東タイラ,Azuma Taira,2018-07-27,2020-06-25,https://www.dlsite.com/books/work/=/product_id/BJ159537.html,https://www.gman.com.tw/archives/226,https://www.kobo.com/tw/zh/ebook/YgncHHKBiDSMjrHptJrpEg,"平凡無趣，是一切情事的開端……
某個位於郊外的住宅區，
住在那裡的人妻們無從宣洩日積月累的性慾，
最後她們決定，沉溺於與老公以外的
男人間的情事……",,,,
9,TAK-004,YES,過ち、はじめまして。 2,"Ayamachi, Hajimemashite. 2",無法抗拒的誘惑(02),竹書房,色白好,Shikishiro Konomi,2013-07-05,2020-03-02,https://www.amazon.co.jp/%E9%81%8E%E3%81%A1%E3%80%81%E3%81%AF%E3%81%98%E3%82%81%E3%81%BE%E3%81%97%E3%81%A6%E3%80%82-2-%E3%83%90%E3%83%B3%E3%83%96%E3%83%BC%E3%82%B3%E3%83%9F%E3%83%83%E3%82%AF%E3%82%B9-COLORFUL-SELECT/dp/4812483379,https://www.gman.com.tw/archives/214,https://www.kobo.com/tw/zh/ebook/bO9HtebH2DuzTCz98-gVjw,"與大學教授外遇的朝雛清代美，

和吉田持續著僅止於肉體的關係，

但吉田對這種無法成為戀人的關係產生厭倦。

同時，打工同事的井上芹菜開始對吉田示好，

吉田也慢慢被她直率的心意吸引。

然而暑假一結束，朝雛和教授的外遇醜聞在校園中爆發出來……。

刻畫出戀愛最真實面貌的戀愛劇，堂堂完結！！",,,,
10,TAK-001,YES,過ち、はじめまして。 1,"Ayamachi, Hajimemashite. 1",無法抗拒的誘惑(01),竹書房,色白好,Shikishiro Konomi,2012-10-27,2020-01-23,https://www.amazon.co.jp/%E9%81%8E%E3%81%A1%E3%80%81%E3%81%AF%E3%81%98%E3%82%81%E3%81%BE%E3%81%97%E3%81%A6%E3%80%82-1-%E3%83%90%E3%83%B3%E3%83%96%E3%83%BC%E3%82%B3%E3%83%9F%E3%83%83%E3%82%AF%E3%82%B9-COLORFUL-SELECT/dp/4812480256,https://www.gman.com.tw/archives/78,https://www.kobo.com/tw/zh/ebook/VBmqx9YChDG_ECr9b30_ZQ,"朝雛清代美以清純及美貌聞名於校園。

對她抱有好感的吉田，

在夜晚四下無人的研究室目擊她與教授的外遇現場

隔天向朝雛表白的吉田，竟被朝雛帶到愛情賓館……。

「我要讓吉田同學，體驗跟我一樣的感受──」",,,,
11,TAK-009,YES,ネトラセラレ 3,Netoraserare 3,NTR老公要求別人玩弄我(03),竹書房,色白好,Shikishiro Konomi,2016-07-30,2020-05-28,https://www.dlsite.com/books/work/=/product_id/BJ088813.html,https://www.gman.com.tw/archives/200,https://www.kobo.com/tw/zh/ebook/ntr-03,"被老公秀次郎要求和其他男人上床的春花，

決定下一個對象是高中時期的戀人・高倉。

看著兩人的行為，秀次郎感受到強烈的嫉妒及興奮，

最後春花終於提出了離婚協議書…！

但秀次郎卻大聲宣言不會離婚也不會停止讓她跟別人做愛。

甚至將對象升級成自己的朋友──。",,,,
12,TAK-007,YES,ネトラセラレ 2,Netoraserare 2,NTR老公要求別人玩弄我(02),竹書房,色白好,Shikishiro Konomi,2015-08-12,2020-04-25,https://www.dlsite.com/books/work/=/product_id/BJ060298.html,https://www.gman.com.tw/archives/181,https://www.kobo.com/tw/zh/ebook/ntr-02,"結婚第二年後，丈夫秀次郎要求妻子春花和其他男人做愛。

某一天，春花高中時期的戀人．高倉，出現在兩人面前。

「下次我想…跟高倉學長做──」",,,,
13,TAK-005,YES,ネトラセラレ 1,Netoraserare 1,NTR老公要求別人玩弄我(01),竹書房,色白好,Shikishiro Konomi,2015-01-17,2020-03-25,https://www.dlsite.com/books/work/=/product_id/BJ044315.html,https://www.gman.com.tw/archives/1,https://www.kobo.com/tw/zh/ebook/ntr-01,"結婚第二年的伊澄秀次郎和春花，

是人人稱羨的理想夫妻。

雖然兩人看似幸福，並彼此相愛著。

不過某一天，秀次郎向春花吐露他

隱藏已久的暗黑慾望。

「我想看妳被別的男人上──」！",,,,
14,AKA-001,NO,とくべつな毎日,Tokubetsu na Mainichi - Special daily,特別的每一天,茜新社,柴崎ショージ,Shibasaki Syouzi,2016-10-23,2020-08-25,https://www.dlsite.com/books/work/=/product_id/BJ094829.html,https://www.gman.com.tw/archives/389,https://www.kobo.com/tw/zh/ebook/6ME_Ev8fCD-l63imh-Uc-Q,"發生在平凡的日子但卻是難忘的回憶……
但這就是青春……
篤志與小晶是青梅竹馬的情侶
但從小到大都練著棒球的篤志
決定放棄棒球而準備就業
看著失去幹勁的篤志，小晶決定拉著篤志去三天二夜的旅行！

收入共8篇充滿愛與青春的短篇集！",https://exhentai.org/g/1642089/36429805f5/,alfredmeow,日版扫图,青梅个人修图
15,TAK-011,YES,ペンと彼女と甘い罠（2）,Pentokanozyotoamaiwana 2,畫筆下的性愛潛規則(02),竹書房,宮原歩,Miyahara Ayumu,2018-04-27,2020-05-28,https://www.dlsite.com/books/work/=/product_id/BJ149353.html,https://www.gman.com.tw/archives/377,https://www.kobo.com/tw/zh/ebook/WC1Yg7JMiD2t_ete5YUPTA,"與青梅竹馬漫畫家・秋山再會的編輯藤田，

決定接受她的建議追求同事佐伯，

卻又和秋山維持著砲友關係。

而喜歡上藤田的漫畫家奈奈繪，卻誤以為是秋山勾引藤田…？

泥沼般的情愛糾葛，終於迎向結局!!",,,,
16,TAK-010,YES,ペンと彼女と甘い罠（1）,Pentokanozyotoamaiwana 1,畫筆下的性愛潛規則(01),竹書房,宮原歩,Miyahara Ayumu,2017-11-07,2020-05-28,https://www.dlsite.com/books/work/=/product_id/BJ128093.html,https://www.gman.com.tw/archives/363,https://www.kobo.com/tw/zh/ebook/rCNMHBnZJjK_FsKXskiDpw,"隱藏在漫畫業界下的情色關係♥

從事編輯的藤田傾心於同事佐伯，

卻一時起歪念對自己負責的作家奈奈繪出手。

同時，他又和成為少女漫畫家的青梅竹馬秋山再會…。

以漫畫業界為舞台的色情職場故事就此爆發!!",,,,
17,TAK-013,YES,いやらしはずかし。,Iyarashi Hazukashi.,淫糜的青澀戀歌,竹書房,朝森瑞季,Asamori Mizuki,2017-07-18,2020-06-25,https://www.dlsite.com/books/work/=/product_id/BJ116600.html,https://www.gman.com.tw/archives/343,https://www.kobo.com/tw/zh/ebook/A6I1u1VpjTeg3WPjzJiDiw,"青澀又突然的戀曲！

讓人臉紅心跳的體驗。

充滿男人夢寐以求之戀愛情境的愛情，就這樣莫名其妙的展開！",,,,
18,TAK-008,YES,女主任・岸見栄子 4,Onna Shunin - Kishi Mieko 4,俏麗女主任的肉體色誘戰術行得通嗎？(04),竹書房,小武,Xiaowoo,2019-04-26,2020-04-25,https://www.amazon.co.jp/%E5%A5%B3%E4%B8%BB%E4%BB%BB%E3%83%BB%E5%B2%B8%E8%A6%8B%E6%A0%84%E5%AD%90-4-%E3%83%90%E3%83%B3%E3%83%96%E3%83%BC%E3%82%B3%E3%83%9F%E3%83%83%E3%82%AF%E3%82%B9-%E5%B0%8F%E6%AD%A6/dp/4801965903/ref=pd_vtp_3/356-9150107-6630519?pd_rd_w=orFPO&pf_rd_p=949e26f5-c2ef-4c96-bfde-49d7614d0317&pf_rd_r=YMQC0DWD20NB85RF3G6G&pd_rd_r=13c49bf9-59a8-4cf9-95ea-156a299eeb82&pd_rd_wg=QWuvi&pd_rd_i=4801965903&psc=1,https://www.gman.com.tw/archives/298,https://www.kobo.com/tw/zh/ebook/BTPYkWQQ0Da3x6yvEibrFw,"竹六股份有限公司總務部第３課的女主任‧岸見榮子，

是位暗中幫部門敲定合約的天然系桃色陷阱師♡

奉深藏不露的精明課長椎名之命，

與巨乳ＯＬ布丁、悶騷系統工程師及菜鳥打工妹通力合作，

誠心誠意地滿足每位客戶的性癖好♡",,,,
