"ID","CENSORED","TITLE_JP","TITLE_ROMA","TITLE_CN","PUBLISHER","AUTHOR","AUTHOR_ROMA","DATE","DATE_PUBLISHER","LINK_JP","LINK_PUBLISHER","COMMENT","SERIES","SERIES_ID","PRICE","PAGE","EH","UPLOADER","SOURCE","TAGS","QUOTE"
AGL-001,YES,ともだちっくす,Tomodachix,朋友間的淫事,ANGEL,デコセンタクジ,Dekosen Takuji,"2017-01-17","2020-10-15",http://angelcomics.jp/product/index.html?filter_auth=%E3%83%87%E3%82%B3%E3%82%BB%E3%83%B3%E3%82%BF%E3%82%AF%E3%82%B8,https://www.gman.com.tw/archives/548,"到底是朋友還是砲友？

青梅竹馬的吉村拓也與珠洲葉，雖然不是男女朋友，卻有著無以倫比的親密關係，不管是第一次與異性牽手，接吻還是做愛，彼此都是最好的練習對象。

直到有一天，待業中的拓也遇見了給自己一份工作的菱丸地所美女部長－冰見川可憐小姐，事情開始有了變化。",,,200,"186",,,,,
AKA-001,NO,とくべつな毎日,Tokubetsu na Mainichi - Special daily,特別的每一天,茜新社,柴崎ショージ,Shibasaki Syouzi,"2016-07-28","2020-08-25",http://www.akaneshinsha.co.jp/item/7793/,https://www.gman.com.tw/archives/389,"發生在平凡的日子但卻是難忘的回憶……
但這就是青春……
篤志與小晶是青梅竹馬的情侶
但從小到大都練著棒球的篤志
決定放棄棒球而準備就業
看著失去幹勁的篤志，小晶決定拉著篤志去三天二夜的旅行！

收入共8篇充滿愛與青春的短篇集！",TENMACOMICS 高,3,220,"210",https://exhentai.org/g/2211296/f0e213d1ed/,moesnow,BW,,
GGO-001,YES,きみとえっち,Kimi to H,跟你做色色的事,GOT,きくらげ,Kikurage,"2016-04-25","2021-11-13",https://comic.gotbb.jp/comics/separatevolume/kimitoecchi,,"眾所期盼，神級美少女繪師的首本單行本華麗登場！
隔了幾年又見到了兒時玩伴的千繪，
小我一歲的千繪不再是那時瘦小的屁孩，
已經是個「女人」了。
而且還逐漸成長為我最喜歡的巨乳，實在讓人心癢，
因為千繪說很久沒來我家玩，所以帶了她回家，
但那麼「兇」的模樣…實在…讓我靜不下心……

小浩！你看！人家啊，已經變大了喔!!
你要確認看看嗎!?",,,250,"235/9",https://exhentai.org/g/2070343/4014aee24d/,K4W1H0R53,READMOO,,
GWA-001,NO,放課後は冒険の時間,Houkago wa Bouken no Jikan - Time for libido after school,下課後的性冒險時間,ワニマガジン社,Pennel,Pennel,"2020-07-15","2021-05-31",https://www.wani.com/product/4862697208/,,"Pennel老師描繪那屬於青春的物語，
收入無修正版『普通的關係』等10個小故事。

學生會長與副會長某天下課後，
在社辦聊天時，不經意聊到色色的事，
雖然沒有心理準備，但就像是磁鐵一樣，
一但靠近就會緊緊的吸在一起。
而一但開始了，就再也停不下來……",,,220,"176/3",https://exhentai.org/g/1925018/b35224d1c3/,"81fdb451",KOBO,"male:glasses,male:schoolboy uniform,female:filming,female:fingering,female:hairy,female:kissing,female:paizuri,female:ponytail,female:schoolgirl uniform,female:stockings,female:swimsuit,female:tomboy,female:x-ray,other:tankoubon,other:uncensored,",
GWA-002,NO,あまえたがり,Amaetagari,就是愛撒嬌,ワニマガジン社,桃月すず,Momoduki Suzu,"2013-08-30","2021-05-31",https://www.wani.com/product/4862692648/,,"色氣滿滿的無修正合集!!

小優一直喜歡同學的姊姊，但自從對她告白之後，
就再也沒有機會見面說話，直到有天發現，
她拒絕的理由只因她年紀稍長，
小優再也無法忍耐……決定把她推倒，
沒想到卻被反攻，直接在她的嘴裡……",,,220,"213/3",https://exhentai.org/g/1973039/22764faea5/,K4W1H0R53,KOBO,"female:bikini,female:blowjob,female:femdom,female:gloves,female:hairy,female:nakadashi,female:paizuri,female:stockings,female:sweating,female:swimsuit,mixed:ffm threesome,other:tankoubon,other:uncensored,",
GWA-003,NO,純情ラブパンチ,Junjou Love Punch - Pure Heart Love Punch,純愛啪啪啪,ワニマガジン社,kakao,kakao,"2015-05-30","2021-07-23",https://www.wani.com/product/4862693687/,,"莫非你想玩弄我的身體當作遮口費……!?
好吧，我只好隨你擺佈了…!!
欸──!? 這是什麼狀況!?

與朋友相約一起逛祭典的大輝，
沒想到對方居然帶了兩位女生過來。
讓上男校的大輝終於迎來了春天，
身為土豪女兒的大宮茉莉雖然可愛但個性超級傲嬌，
讓大輝難以招架。無意間，大輝居然發現了茉莉內褲裡的秘密……
集結Kakao老師在雜誌連載的12部作品，
滿滿溢出的色氣＋無修正內容實在不容錯過。",,,220,"217",,,,"female:apron,female:big breasts,female:bike shorts,female:blowjob,female:cheating,female:defloration,female:glasses,female:kimono,female:milf,female:paizuri,female:pantyhose,female:ponytail,female:school swimsuit,female:schoolgirl uniform,female:stockings,female:swimsuit,female:tracksuit,female:twintails,other:tankoubon,other:uncensored",
GWA-004,NO,オトナになりたい…,Otona ni naritai... - I wanna be a lady...,想要和你轉大人,ワニマガジン社,もず,mozu,"2020-06-30","2021-07-23",https://www.wani.com/product/4862697151/,,"青梅竹馬的芳樹與司司小時候感情很好，不只一起玩耍還一起洗澡。
但在芳樹考上大學離開老家，接著畢業、就職……就再也沒回來。
多年後，芳樹終於回來了……看見多年不見的司司，
變得亭亭玉立，忍不住怦然心動。
就在芳樹要洗澡的時候，司司也跟著進來……

芳樹哥哥這邊變得好大喔！
等…等一下！啊、含到嘴裡了！

集結Mozu老師「萌芽的夏日」等無修正10部短編作品，令人心跳加速的青春物語。",,,220,"179/1",https://exhentai.org/g/1975675/e5d86d8c20/,LzNO_Hentai,KOBO,"male:blackmail,male:business suit,male:condom,male:glasses,male:onahole,male:schoolboy uniform,male:shotacon,male:teacher,female:beauty mark,female:blowjob,female:cousin,female:defloration,female:filming,female:hairy,female:lolicon,female:mouth mask,female:omorashi,female:ponytail,female:schoolgirl uniform,female:shimaidon,female:stockings,female:tomboy,female:twintails,female:urination,female:voyeurism,female:x-ray,mixed:ffm threesome,mixed:group,mixed:incest,other:tankoubon,other:uncensored",
GWA-005,NO,なかだしストライク!,Nakadashi Strike! - Winning strike!,內射直球對決！,ワニマガジン社,kakao,kakao,"2019-11-29","2021-08-25",https://www.wani.com/product/4862696783/,,"用無套性愛告別童貞，一口氣讓妳高潮到底♥
Kakao老師筆下獨特女主角們的淫亂性愛!!
純情的紅髮辣妹、與護士小姐的3P性冒險、冒失衝浪手、援交淫魔、
愛吃醋的女生、眼鏡美女上司、反覆無常的離家少女、美腿學姊等……
總計10話的無修正超實用作品!!",,,220,"201",,,,"male:cheating,male:glasses,male:schoolboy uniform,male:sole male,male:tracksuit,male:virginity,female:ahegao,female:big breasts,female:blowjob,female:defloration,female:demon girl,female:exhibitionism,female:femdom,female:footjob,female:glasses,female:gyaru,female:hairy,female:handjob,female:horns,female:kimono,female:nakadashi,female:nurse,female:paizuri,female:pantyhose,female:ponytail,female:rimjob,female:schoolgirl uniform,female:swimsuit,female:tail,female:tracksuit,female:unusual pupils,female:wings,female:x-ray,mixed:ffm threesome,mixed:group,other:tankoubon,other:uncensored",
GWA-006,NO,潜熱,Sennetsu,潛熱,ワニマガジン社,Pennel,Pennel,"2016-06-01","2021-08-25",https://www.wani.com/product/4862694292/,,"隱藏在內心之下，無法止住的情慾
少女的慾火在不知不覺間被悄悄地點燃──
Pennel老師描繪少女情竇初開的處女作品集!!
除收入在日本雜誌連載的作品外，加入全新繪製2話作品，總計13話
按捺不住衝動的懷春Story!!",,,220,"213/3",https://exhentai.org/g/2154112/29068261ef/,K4W1H0R53,KOBO,,
GWA-007,NO,発情ラビッツ,Hatsujou Rabbits,動情騷兔,ワニマガジン社,SAVAN,SAVAN,"2020-05-29","2021-09-24",https://www.wani.com/product/4862697119/,,"唸大學的小安，雖然長相斯文乖巧，但卻有個不為人知的煩惱——「那個」尺寸太大難以性交……
某日到熟識的藥局找老闆商談，
但店內只剩老闆的女兒廣美小姐，超好奇的她為了驗證小安沒有說謊，一把撲向了小安……
共收入SAVAN老師巧筆下的9話故事，令人欲罷不能！",,,220,"179/1",https://exhentai.org/g/2278643/f5ba8da7f5/,K4W1H0R53,KOBO,"male:business suit,male:dilf,male:glasses,male:teacher,male:tracksuit,female:big breasts,female:blowjob,female:cheating,female:fingering,female:glasses,female:hair buns,female:hairy,female:impregnation,female:kimono,female:masturbation,female:nakadashi,female:netorare,female:paizuri,female:ponytail,female:schoolgirl uniform,female:sister,female:stockings,female:swimsuit,female:tanlines,female:teacher,female:tracksuit,female:unusual pupils,female:x-ray,mixed:incest,other:tankoubon,",
GWA-008,NO,おんなのこのにく,Onnanoko no Niku,花樣少女的魅肉,ワニマガジン社,いつつせ,Itsutsuse,"2020-11-30","2021-11-19",https://www.wani.com/product/4862697488/,,"初步的女友繪由是話劇社社長，除了演戲之外幾乎是毫無表情。
不管是當初和她告白，坐雲霄飛車、看催淚電影時，甚至做愛都一樣。
就算覺得舒服但臉上反應卻還是很冷淡！連繪由自己也是苦惱不已。

某天異想天開的初步想要藉由演戲來讓繪由展現情緒。
卻讓繪由意外的挖掘出了那個色色的自己。

收入いつつせ老師筆下的奇耙無修正故事8話。
讓你欲罷不能。",,,220,"181/5",https://exhentai.org/g/2065921/1040af979d/,K4W1H0R53,READMOO,"female:blowjob,female:bondage,female:bunny girl,female:dark skin,female:daughter,female:femdom,female:fishnets,female:impregnation,female:lactation,female:mouth mask,female:nakadashi,female:pantyhose,female:schoolgirl uniform,female:stockings,female:twintails,mixed:group,mixed:incest,other:tankoubon,other:uncensored",
GWA-009,NO,好き好きマシンガン!,SukiSuki Machine Gun! - You pull the trigger of my love Machine gun!,愛上內射機關槍!,ワニマガジン社,kakao,kakao,"2017-05-31","2021-11-19",https://www.wani.com/product/4862694942/,,"小時候時常陪我玩的小菫姊，自從我和父母搬家後，就再也沒見過面。
過了幾年到東京讀大學的我與小菫姊重逢，
沒想到她竟然變成了那麼大的巨乳!!今天她答應要來我家玩，
我一定要展開攻勢，傳達我多年的心意!!
根據我對小菫姊多年的認識。她就是人太好，
一被拜託就無法拒絕…
所以我要拜託她○○，然後再拜託她××。
最後再拜託她△△！這個計畫實在太棒了！
收入Kakao老師精彩無修正11話作品。",,,220,"219/9",https://exhentai.org/g/2112769/3c40c2b413/,K4W1H0R53,READMOO,"male:glasses,female:anal,female:big breasts,female:blowjob,female:dougi,female:footjob,female:glasses,female:kimono,female:lingerie,female:maid,female:miko,female:nakadashi,female:paizuri,female:pantyhose,female:schoolgirl uniform,female:stockings,other:tankoubon,",
GWA-010,NO,トロラヴァ♡,Toro Lover - Melty lover,沈浸魚水之歡的戀人,ワニマガジン社,SAVAN,SAVAN,"2017-04-29","2021-12-30",https://www.wani.com/product/4862694861/,,"口交、吸奶、舔乳與內射中出。
SAVAN老師筆下美麗畫風
與令人目不轉睛欲罷不能的無修正版本
挑逗情慾的12個故事。",,,220,"219",https://exhentai.org/g/2103655/bb5cd49928/,K4W1H0R53,READMOO,"male:bbm,male:dilf,male:glasses,male:old man,male:shotacon,male:teacher,female:big ass,female:big breasts,female:blowjob,female:breast feeding,female:cunnilingus,female:defloration,female:double penetration,female:drill hair,female:fishnets,female:footjob,female:garter belt,female:glasses,female:hairy,female:hidden sex,female:kunoichi,female:lingerie,female:milf,female:nakadashi,female:pantyhose,female:rape,female:schoolgirl uniform,female:stockings,female:sweating,female:swimsuit,female:tanlines,female:twintails,female:x-ray,other:tankoubon,other:uncensored",
GWA-011,NO,あまとろ性活,Amatoro Seikatsu,蜜糖般的性活,ワニマガジン社,ユズハ,Yuzuha,"2020-09-30","2021-12-30",https://www.wani.com/product/4862697356/,,"高木和倉田是一起打工的同事，
某日各自帶了自己的女友一同出遊烤肉。
半夜睡不著的高木溜出木屋去抽煙，
沒想到倉田的女友夕子跟著過來。
兩個人無意間聊起了私密話題……",,,220,"183/2",https://exhentai.org/g/2103605/1f7ff2e235/,K4W1H0R53,READMOO,"male:schoolboy uniform,male:teacher,male:virginity,female:beauty mark,female:cheating,female:gyaru,female:hotpants,female:masturbation,female:schoolgirl uniform,female:twintails,other:tankoubon,other:uncensored",
